TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
14215GNRLM56CLY,2,784931,425622
49423QLTYL630OT,5,860718,424615
51250HRKRS25115,7,961024,430535
08902SDTRG1735J,2,742924,402710
56345CNTRL17936,5,942011,460130
60104STCLR12025,5,875200,415326
84104BLNCH1115S,8,1115727,404144
50511KCHMT832NM,7,941291,430462
06430HNDYH1770K,1,731405,410925
46755HNDYH2400P,5,851334,412639
72209SMTHF5601S,6,921903,344121
72757RGRST553N1,6,940802,362019
44036LYRFN120FI,5,820709,412210
27288RXMRL816FI,4,794217,363042
39530LVLLY2005T,4,885140,302404
7570WHLNDD13173,6,,
8410WSNNCH85S36,8,,
28337CGNTR3100W,4,783854,343844
85282DRLCR645W2,9,1115710,332400
44087RNDST8589D,5,812626,411818
06082NCLCR230SH,1,723108,420019
35064HCKTTWESTF,4,865620,332920
19933DLGRCPOBOX,3,753628,384413
53202PHRMC2202N,5,875320,430336
02149DMPNY85PAR,1,710333,422354
50060VLTMSHIGHW,7,931945,404520
23860JMSRV912ER,3,771711,371738
46202TRPNN404WE,5,861000,394700
75604THSTRFM184,6,944518,322747
07302HRTPR173SU,2,740230,404251
18042HRCRS1525W,3,0,0
19966NDNRVRTE33,3,751400,383500
38109XCLTS552RI,4,900700,350320
53132GNTMT5801W,5,875922,425143
00674SFTYKKM510,2,663024,182600
16046CNCXX11LEO,3,800610,404235
53225STCHN5848N,5,880202,430730
92631FVRTF1901V,9,1175738,335213
39602KYSTN905IN,4,902530,313620
5322WTRNGL869WE,5,,
60914HCKTTRTE50,5,,
50208CNTRL3426E,7,,
50213FRNSL1000F,7,934658,410130
37055HRBRNHWY46,4,872629,360432
1933WPPPRD421BT,3,,
2820WWPKCR61GUL,4,,
17113HCKTTBETHL,3,764648,401252
18407LBCKC166DU,3,753000,413500
06516NTHNN350FR,1,725850,411606
04240SPRMSCANAL,1,700345,435915
53235LKSDC4170S,5,875329,425806
5031WLBRTY323DI,7,,
78408VNWTR402MC,6,972743,274733
27565CLYTN3212K,4,783647,361630
28439GLSTRHIGHW,4,790232,341905
